Method,Name,Error,Occurrences,First Seen,Last Seen
gRPC,Classify/default,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.INTERNAL
	details = ""[StatusCode.NOT_FOUND] Request for unknown model: 'fp32' is not found""
	debug_error_string = ""UNKNOWN:Error received from peer ipv4:34.178.244.104:50051 {grpc_message:""[StatusCode.NOT_FOUND] Request for unknown model: \'fp32\' is not found"", grpc_status:13, created_time:""2026-06-17T21:54:34.467939-04:00""}""
>",1,2026-06-18T01:54:34Z,2026-06-18T01:54:34Z
gRPC,Classify/default,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.INTERNAL
	details = ""[StatusCode.NOT_FOUND] Request for unknown model: 'fp32' is not found""
	debug_error_string = ""UNKNOWN:Error received from peer ipv4:34.178.244.104:50051 {created_time:""2026-06-17T21:54:45.005853-04:00"", grpc_status:13, grpc_message:""[StatusCode.NOT_FOUND] Request for unknown model: \'fp32\' is not found""}""
>",1,2026-06-18T01:54:45Z,2026-06-18T01:54:45Z
gRPC,Classify/default,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.INTERNAL
	details = ""[StatusCode.NOT_FOUND] Request for unknown model: 'fp32' is not found""
	debug_error_string = ""UNKNOWN:Error received from peer ipv4:34.178.244.104:50051 {grpc_message:""[StatusCode.NOT_FOUND] Request for unknown model: \'fp32\' is not found"", grpc_status:13, created_time:""2026-06-17T21:54:36.606213-04:00""}""
>",1,2026-06-18T01:54:36Z,2026-06-18T01:54:36Z
gRPC,Classify/default,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.INTERNAL
	details = ""[StatusCode.NOT_FOUND] Request for unknown model: 'fp32' is not found""
	debug_error_string = ""UNKNOWN:Error received from peer ipv4:34.178.244.104:50051 {created_time:""2026-06-17T21:54:42.017569-04:00"", grpc_status:13, grpc_message:""[StatusCode.NOT_FOUND] Request for unknown model: \'fp32\' is not found""}""
>",1,2026-06-18T01:54:42Z,2026-06-18T01:54:42Z
gRPC,Classify/default,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.INTERNAL
	details = ""[StatusCode.NOT_FOUND] Request for unknown model: 'fp32' is not found""
	debug_error_string = ""UNKNOWN:Error received from peer ipv4:34.178.244.104:50051 {created_time:""2026-06-17T21:54:35.294346-04:00"", grpc_status:13, grpc_message:""[StatusCode.NOT_FOUND] Request for unknown model: \'fp32\' is not found""}""
>",1,2026-06-18T01:54:35Z,2026-06-18T01:54:35Z
gRPC,Classify/default,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.INTERNAL
	details = ""[StatusCode.NOT_FOUND] Request for unknown model: 'fp32' is not found""
	debug_error_string = ""UNKNOWN:Error received from peer ipv4:34.178.244.104:50051 {created_time:""2026-06-17T21:54:24.113499-04:00"", grpc_status:13, grpc_message:""[StatusCode.NOT_FOUND] Request for unknown model: \'fp32\' is not found""}""
>",1,2026-06-18T01:54:24Z,2026-06-18T01:54:24Z
gRPC,Classify/default,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.INTERNAL
	details = ""[StatusCode.NOT_FOUND] Request for unknown model: 'fp32' is not found""
	debug_error_string = ""UNKNOWN:Error received from peer ipv4:34.178.244.104:50051 {grpc_message:""[StatusCode.NOT_FOUND] Request for unknown model: \'fp32\' is not found"", grpc_status:13, created_time:""2026-06-17T21:54:46.588004-04:00""}""
>",1,2026-06-18T01:54:46Z,2026-06-18T01:54:46Z
gRPC,Classify/default,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.INTERNAL
	details = ""[StatusCode.NOT_FOUND] Request for unknown model: 'fp32' is not found""
	debug_error_string = ""UNKNOWN:Error received from peer ipv4:34.178.244.104:50051 {created_time:""2026-06-17T21:54:36.458922-04:00"", grpc_status:13, grpc_message:""[StatusCode.NOT_FOUND] Request for unknown model: \'fp32\' is not found""}""
>",1,2026-06-18T01:54:36Z,2026-06-18T01:54:36Z
gRPC,Classify/default,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.INTERNAL
	details = ""[StatusCode.NOT_FOUND] Request for unknown model: 'fp32' is not found""
	debug_error_string = ""UNKNOWN:Error received from peer ipv4:34.178.244.104:50051 {created_time:""2026-06-17T21:54:32.930986-04:00"", grpc_status:13, grpc_message:""[StatusCode.NOT_FOUND] Request for unknown model: \'fp32\' is not found""}""
>",1,2026-06-18T01:54:32Z,2026-06-18T01:54:32Z
gRPC,Classify/default,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.INTERNAL
	details = ""[StatusCode.NOT_FOUND] Request for unknown model: 'fp32' is not found""
	debug_error_string = ""UNKNOWN:Error received from peer ipv4:34.178.244.104:50051 {grpc_message:""[StatusCode.NOT_FOUND] Request for unknown model: \'fp32\' is not found"", grpc_status:13, created_time:""2026-06-17T21:54:30.488231-04:00""}""
>",1,2026-06-18T01:54:30Z,2026-06-18T01:54:30Z
